"Sample ID","Bioproject ID","Biosample ID","Species","Biotic Relationship","Extreme Environment","Cell Arrangement","Cell Shape","Colony Color","Energy Source","Habitat","Oxygen","Latitude","Longitude","Elevation","Collection Method","Collection Date","Storage Method","Originating Lab","Sample Provider","GEO Location","Contact Email","Description"
"P10K-MW-000161","PRJCA017400","SAMC2820728","Vorticella convallaria strain P10K-7","Free living","Heavy metal pollution(Hg)","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.528406","109.229675","520.29","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000162","PRJCA017400","SAMC2820729","Coleps sp.16 P10K","Free living","Sewage plant","Singles","Ovoid-shaped","Colorless","Heterotroph","Sewage","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000163","PRJCA017400","SAMC2820730","Vorticella sp.7 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.568884","106.57437","127","Microabsorption method","2020-06","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Chongqing","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000164","PRJCA017400","SAMC2820731","Vorticella sp.96 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Mangrove water","Aerobe","22.524702","113.99699","NA","Microabsorption method","2020-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangdong;Shenzhen","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000165","PRJCA017400","SAMC2820732","Coleps hirtus hirtus strain P10K-2","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","38.59135","98.869576","3680.46","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Qinghai;Haibei;Tolle River Wetlands","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000166","PRJCA017400","SAMC2820733","Frontoniidae sp. bLPN3","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","37.328682","100.12453","3242.55","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Qinghai;Haibei;Shaliu River","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000167","PRJCA017400","SAMC2820734","Sessilida sp.3 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Saline lake","Aerobe","36.989414","99.85489","3161.93","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Qinghai;Haibei;Vogelinseln","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000168","PRJCA017400","SAMC2820735","Obertrumia georgiana strain P10K-5","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.675444","91.10913","3650","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa;Lhalu Wetland","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000169","PRJCA017400","SAMC2820736","Opisthonecta minima strain P10K-2","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Moss","Aerobe","31.112337","92.849106","4865","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000170","PRJCA017400","SAMC2820737","Vorticella sp.74 P10K","Free living","Heavy metal pollution","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","37.59249","121.05714","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Shandong;Penglai","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000171","PRJCA017400","SAMC2820738","Vorticella sp.19 P10K","Free living","Heavy metal pollution","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","37.59249","121.05714","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Shandong;Penglai","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000172","PRJCA017400","SAMC2820739","Vorticella sp.8 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","30.547266","114.380615","NA","Microabsorption method","2020-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan;East Lake","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000173","PRJCA017400","SAMC2820740","Vorticella sp.75 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","31.052893","93.02482","NA","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000174","PRJCA017400","SAMC2820741","Vorticella sp.76 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Moss","Aerobe","31.092096","93.046486","4915","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000175","PRJCA017400","SAMC2820742","Vorticella sp.17 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Moss","Aerobe","30.981344","92.946884","4847","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000176","PRJCA017400","SAMC2820743","Telotrochidium sp.4 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Moss","Aerobe","30.075333","90.56855","4204","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000177","PRJCA017400","SAMC2820744","Vorticella sp.77 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","21.898829","108.61039","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangxi;Qinzhou","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000178","PRJCA017400","SAMC2820745","Vorticella sp.78 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.279518","95.252304","667.74","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000179","PRJCA017400","SAMC2820746","Telotrochidium sp.5 P10K","Free living","Heavy metal pollution(Cd)","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.222763","113.64649","243.58","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hunan;Zhuzhou;Youxian","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000180","PRJCA017400","SAMC2820747","Vorticella sp.9 P10K","Free living","Heavy metal pollution(Hg)","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.533648","109.23793","497.19","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000181","PRJCA017400","SAMC2820748","Sessilida sp.4 P10K","Free living","Heavy metal pollution(Hg)","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.533648","109.23793","497.19","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000182","PRJCA017400","SAMC2820749","Vorticella sp.10 P10K","Free living","Heavy metal pollution(Hg)","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.506083","109.22875","517.35","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000183","PRJCA017400","SAMC2820750","Vorticella sp.79 P10K","Free living","Heavy metal pollution(Hg)","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.541925","109.22589","717.47","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000184","PRJCA017400","SAMC2820751","Telotrochidium sp.6 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Agricultural waste","Aerobe","30.520916","111.59445","61.67","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Yichang","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000185","PRJCA017400","SAMC2820752","Vaginicola sp.5 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Agricultural waste","Aerobe","30.520916","111.59445","61.67","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Yichang","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000186","PRJCA017400","SAMC2820753","Vorticella aequilata strain P10K-1","Free living","Sewage plant","Singles","Bell-shaped","Colorless","Heterotroph","Sewage","Aerobe","30.673786","111.28553","25.79","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Yichang","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000187","PRJCA017400","SAMC2820754","Sessilida sp.5 P10K","Free living","Sewage plant","Singles","Bell-shaped","Colorless","Heterotroph","Sewage","Aerobe","30.673428","111.285614","27.78","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Yichang","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000188","PRJCA017400","SAMC2820755","Sessilida sp.6 P10K","Free living","Sewage plant","Singles","Bell-shaped","Colorless","Heterotroph","Sewage","Aerobe","30.673428","111.285614","27.78","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Yichang","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000189","PRJCA017400","SAMC2820756","Vorticella convallaria strain P10K-8","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","28.083284","89.54272","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Shigatse;Medika Wetlands","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000190","PRJCA017400","SAMC2820757","Vorticella sp.2 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.677896","91.109436","3609.52","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa;Yarlung zangbo river","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000191","PRJCA017400","SAMC2820758","Opisthonecta sp.8 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.379494","90.82916","3555.77","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa;Yarlung zangbo river","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000192","PRJCA017400","SAMC2820759","Vorticella convallaria strain P10K-9","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","30.210966","82.37254","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Shigatse;Medika Wetlands","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000193","PRJCA017400","SAMC2820760","Carchesium sp.2 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","28.544344","89.35373","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Shigatse;Medika Wetlands","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000194","PRJCA017400","SAMC2820761","Carchesium polypinum","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","22.898855","113.42767","NA","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangdong;Guangzhou","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000195","PRJCA017400","SAMC2820762","Vorticella sp.80 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","22.898855","113.42767","NA","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangdong;Guangzhou","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000196","PRJCA017400","SAMC2820763","Vorticella sp.20 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","22.898855","113.42767","NA","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangdong;Guangzhou","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000197","PRJCA017400","SAMC2820764","Vorticella sp.94 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Brackish water","Aerobe","22.522264","113.95316","NA","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangdong;Shenzhen","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000198","PRJCA017400","SAMC2820765","Vorticella sp.11 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","38.8126","98.40624","3314.46","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Qinghai;Haibei;Tolle River Wetlands","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000199","PRJCA017400","SAMC2820766","Cyclidium sp.1 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Saline lake","Aerobe","31.364416","90.62705","4569","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu;Bam co","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000200","PRJCA017400","SAMC2820767","Cyclidium marinum strain P10K-1","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","31.109388","92.84861","4905","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000201","PRJCA017400","SAMC2820768","Paramecium duboscqui strain P10K-1","Free living","High Altitude","Singles","Shoe-shaped","Colorless","Heterotroph","Saline lake","Aerobe","36.945442","99.61527","3175.52","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Qinghai;Hainan;Qinghai Lake","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000202","PRJCA017400","SAMC2820769","Euplotes sp.1 P10K","Free living","High Altitude","Singles","Ellipse-shaped","Colorless","Heterotroph","Saline lake","Aerobe","36.945442","99.61527","3175.52","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Qinghai;Hainan;Qinghai Lake","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000203","PRJCA017400","SAMC2820770","Cyclidium sp.2 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Saline lake","Aerobe","36.945442","99.61527","3175.52","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Qinghai;Hainan;Qinghai Lake","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000204","PRJCA017400","SAMC2820771","Litonotus sp.2 P10K","Free living","High Altitude","Singles","Blade-shape","Colorless","Heterotroph","Saline lake","Aerobe","36.945442","99.61527","3175.52","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Qinghai;Hainan;Qinghai Lake","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000205","PRJCA017400","SAMC2820772","Opisthonecta sp.1 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Saline lake","Aerobe","36.945442","99.61527","3175.52","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Qinghai;Hainan;Qinghai Lake","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000206","PRJCA017400","SAMC2820773","Oligohymenophorea sp.5 P10K","Free living","High Altitude","Singles","Undefined","Undefined","Undefined","Fresh water","Aerobe","29.66493","91.08158","3648","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa;Lhalu Wetland","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000207","PRJCA017400","SAMC2820774","Cryptocaryon sp.1 P10K","Free living","High Altitude","Singles","Undefined","Undefined","Undefined","Fresh water","Aerobe","29.66493","91.08158","3648","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa;Lhalu Wetland","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000208","PRJCA017400","SAMC2820775","Levicoleps sp.2 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.66493","91.08158","3648","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa;Lhalu Wetland","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000209","PRJCA017400","SAMC2820776","Coleps sp.17 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.66493","91.08158","3648","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa;Lhalu Wetland","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000210","PRJCA017400","SAMC2820777","Colepidae sp.5 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.379618","90.83298","3591","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa;Chabalang Wetlands","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000211","PRJCA017400","SAMC2820778","Opercularia sp.1 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","31.931005","91.553314","4586","Microabsorption method","2020-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu;Tsonag Lake","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000212","PRJCA017400","SAMC2820779","Sessilida sp.7 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Moss","Aerobe","34.92917","110.09722","NA","Microabsorption method","2019-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Shaanxi;Xian","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000213","PRJCA017400","SAMC2820780","Vorticella sp.12 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Brackish water","Aerobe","22.557281","113.861855","NA","Microabsorption method","2019-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangdong;Shenzhen","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000214","PRJCA017400","SAMC2820781","Zoothamnopsis sp.1 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Moss","Aerobe","28.204006","89.65352","4551.33","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Shigatse","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000215","PRJCA017400","SAMC2820782","Opisthonecta minima strain P10K-3","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","46.493076","125.220695","149.18","Microabsorption method","2019-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Heilongjiang;Daqing","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000216","PRJCA017400","SAMC2820783","Vorticella sp.21 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","42.184807","128.18414","1142","Microabsorption method","2019-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Jilin;Yanbian;Changbai Mountain Scenic Area","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000217","PRJCA017400","SAMC2820784","Vorticella convallaria strain P10K-10","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Moss","Aerobe","30.28951","114.7312","15.25","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Daye","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000218","PRJCA017400","SAMC2820785","Vorticella sp.81 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","30.007748","113.80568","22","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Honghu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000219","PRJCA017400","SAMC2820786","Vorticella campanula","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.440603","95.40727","692.09","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000220","PRJCA017400","SAMC2820787","Zoothamnopsis sp.2 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Moss","Aerobe","29.19448","90.62572","4714.22","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Shannan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000221","PRJCA017400","SAMC2820788","Sessilida sp.8 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.225506","95.1307","656.97","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000222","PRJCA017400","SAMC2820789","Vorticella campanula","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","28.210434","112.99197","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hunan;Changsha","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000223","PRJCA017400","SAMC2820790","Sessilida sp.9 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Moss","Aerobe","29.240137","95.17074","771.48","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000224","PRJCA017400","SAMC2820791","Vorticella sp.13 P10K","Free living","Heavy metal pollution(Hg)","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.528406","109.229675","520.29","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000225","PRJCA017400","SAMC2820792","Vorticella sp.3 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","31.064426","92.50575","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu;Yarlung zangbo river","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000226","PRJCA017400","SAMC2820793","Cyclidium sp.3 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","31.407183","91.47582","4525","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu;Co Ngoin","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000227","PRJCA017400","SAMC2820794","Pseudovorticella sp.9 P10K","Free living","High Altitude","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","31.549921","90.84954","4608","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000228","PRJCA017400","SAMC2820795","Oligohymenophorea sp.6 P10K","Free living","High Altitude","Singles","Undefined","Undefined","Undefined","Fresh water","Aerobe","31.549921","90.84954","4608","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000229","PRJCA017400","SAMC2820796","Uronema sp.1 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","31.549921","90.84954","4608","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000230","PRJCA017400","SAMC2820797","Litonotus sp.3 P10K","Free living","High Altitude","Singles","Blade-shape","Colorless","Heterotroph","Saline lake","Aerobe","31.400043","90.9342","4536","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu;Bam co","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000231","PRJCA017400","SAMC2820798","Cyclidium sp.4 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Saline lake","Aerobe","31.431358","90.95008","4529","Microabsorption method","2020-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu;Bam co","p10k@ihb.ac.cn","From P10K (NGDC)"
