Species,SampleID,AssemblyID,TotalSize,ScaffoldCount,N50,Completeness,GeneCount,CDSCompleteness,AnnotLevel,SomeNumber
Bresslauides sp.9 P10K,P10K-MW-000571,GWHDQEZ00000000,45.715681,64899,844,39.8,64638,58.3109007085615,Low,1
Bresslaua sp.4 P10K,P10K-MW-000572,GWHDQFA00000000,70.878119,79083,1116,62.0,78794,62.3638855750438,Medium,1
Bresslaua sp.5 P10K,P10K-MW-000573,GWHDQFB00000000,61.455507,74834,1020,62.0,74578,58.4448496875754,Medium,1
Colpoda sp.10 P10K,P10K-MW-000574,GWHDQFC00000000,77.936092,89562,1094,74.2,89422,58.963118695623,Medium,1
Colpoda sp.11 P10K,P10K-MW-000575,GWHDQFD00000000,41.61906,52544,975,70.8,52428,56.5861753261616,Medium,1
Platyophrya sp.2 P10K,P10K-MW-000576,GWHDQFE00000000,43.279762,56080,933,52.1,56009,59.1851309610955,Medium,1
Colpoda magna strain P10K-3,P10K-MW-000577,GWHDQFF00000000,61.314119,69226,1096,63.1,69061,61.3414228001332,Medium,1
Bresslauides sp.10 P10K,P10K-MW-000578,GWHDQFG00000000,65.738256,70008,1210,82.5,69801,64.3113995501497,Medium,1
Bresslaua sp.6 P10K,P10K-MW-000579,GWHDQFH00000000,30.755213,41633,894,41.5,41468,63.5502073888299,Medium,1
Vorticella convallaria strain P10K-13,P10K-MW-000580,GWHDQFI00000000,4.468256,10497,448,6.4,10481,40.8739624081672,Low,1
Colpoda sp.12 P10K,P10K-MW-000581,GWHDQFJ00000000,69.811382,84176,1012,70.2,84004,60.6756821103757,Medium,1
Blepharisma sp.4 P10K,P10K-MW-000582,GWHDQFK00000000,23.308215,31597,876,54.4,31596,7.60855804532219,Low,1
Colpoda sp.3 P10K,P10K-MW-000583,GWHDQFL00000000,34.341484,49285,832,55.0,49134,54.805226523385,Medium,1
Colpodidae sp.6 P10K,P10K-MW-000584,GWHDQFM00000000,56.121769,60759,1218,54.4,60653,62.0200154979968,Medium,1
Blepharisma sp.5 P10K,P10K-MW-000585,GWHDQFN00000000,32.318628,39499,1012,72.5,39499,10.2964632016,Low,1
Colpodidae sp.1 P10K,P10K-MW-000586,GWHDQFO00000000,12.929902,24439,588,15.2,24277,49.3100465461136,Low,1
Vorticella convallaria strain P10K-14,P10K-MW-000587,GWHDQFP00000000,21.512661,32119,779,31.0,32101,48.3660945141896,Low,1
Colpoda sp.13 P10K,P10K-MW-000588,GWHDQFQ00000000,87.526892,104509,1073,86.5,104278,60.9687565929535,Medium,1
Vorticella convallaria strain P10K-15,P10K-MW-000589,GWHDQFR00000000,2.205805,5825,388,2.9,5790,35.8376511226252,Low,1
Blepharisma sp.1 P10K,P10K-MW-000590,GWHDQFS00000000,56.489997,52541,1438,78.4,52536,14.3311253235876,Low,1
Lembadion bullinum strain P10K-5,P10K-MW-000591,GWHDQFT00000000,29.259801,40769,853,49.7,40732,41.5422763429245,Low,1
Amphileptidae sp.1 P10K,P10K-MW-000592,GWHDQFU00000000,26.706829,33333,1024,52.6,33113,43.568991030713,Low,1
Blepharisma sp.6 P10K,P10K-MW-000593,GWHDQFV00000000,20.90628,24849,1049,61.4,24848,8.91822279459111,Low,1
Opisthonecta minima strain P10K-5,P10K-MW-000594,GWHDQFW00000000,23.508476,39198,713,30.4,39128,43.7103864240442,Low,1
Bresslaua sp.7 P10K,P10K-MW-000595,GWHDQFX00000000,29.903327,47783,755,42.1,47415,57.0178213645471,Low,1
Vorticella sp.25 P10K,P10K-MW-000596,GWHDQFY00000000,9.47896,25518,383,4.1,25460,30.1963864886096,Low,1
Arcella sp.15 P10K,P10K-MW-000597,GWHDQFZ00000000,33.158202,41925,971,70.8,41772,60.2748252417888,Medium,1
Tetrahymena rostrata strain P10K-6,P10K-MW-000598,GWHDQGA00000000,17.170993,24469,834,36.3,24451,45.6913827655311,Low,1
Arcella sp.16 P10K,P10K-MW-000599,GWHDQGB00000000,15.931988,27409,661,52.0,27232,60.4913337250294,Medium,1
Arcella hemisphaerica strain P10K-1,P10K-MW-000600,GWHDQGC00000000,38.563381,47200,1014,67.3,47068,58.2009008243393,Medium,1
Arcella sp.5 P10K,P10K-MW-000601,GWHDQGD00000000,15.050952,25220,698,57.9,25059,59.9984037671096,Medium,1
Arcella sp.6 P10K,P10K-MW-000602,GWHDQGE00000000,35.725583,44289,991,64.9,44145,61.1326311020501,Medium,1
Paramoebidae sp.12 P10K,P10K-MW-000603,GWHDQGF00000000,16.977917,26016,784,45.0,25851,54.3151135352598,Low,1
Echinamoebida sp.1 P10K,P10K-MW-000604,GWHDQGG00000000,18.984874,31327,702,39.2,31098,54.7880892661908,Low,1
Cryptocaryon sp.2 P10K,P10K-MW-000605,GWHDQGH00000000,8.577035,16132,599,24.6,15939,84.1395319656189,Medium,1
Arcella sp.17 P10K,P10K-MW-000606,GWHDQGI00000000,40.658369,47387,1072,73.1,47270,64.2796699809604,Medium,1
Paramoebidae sp.6 P10K,P10K-MW-000607,GWHDQGJ00000000,32.755677,41709,976,56.8,41710,5.84991608726924,Low,1
Arcella sp.18 P10K,P10K-MW-000608,GWHDQGK00000000,29.620064,35403,1079,58.5,35213,69.4118649362451,Medium,1
Lembadion bullinum strain P10K-6,P10K-MW-000609,GWHDQGL00000000,38.556383,58096,825,46.8,58056,38.9330990767535,Low,1
Vorticella sp.49 P10K,P10K-MW-000610,GWHDQGM00000000,8.14344,19328,443,4.7,19292,34.0140991084387,Low,1
Colpoda henneguyi strain P10K-1,P10K-MW-000611,GWHDQGN00000000,22.666753,31243,894,32.8,31118,57.4587055723376,Low,1
Mayorella sp.5 P10K,P10K-MW-000612,GWHDQGO00000000,63.83022,72904,1112,83.7,72568,53.6255649873222,Medium,1
Pseudomicrothorax sp.2 P10K,P10K-MW-000613,GWHDQGP00000000,36.646062,50023,893,67.3,49883,48.4052683278873,Medium,1
Spathidiidae sp.5 P10K,P10K-MW-000614,GWHDQGQ00000000,44.721778,51942,1109,73.1,51641,55.728975039213,Medium,1
Dileptus sp.4 P10K,P10K-MW-000615,GWHDQGR00000000,31.872725,39641,1002,70.7,39508,44.7808038878202,Medium,1
Colpoda sp.14 P10K,P10K-MW-000616,GWHDQGS00000000,51.16549,56677,1195,54.4,56089,61.9551070619908,Medium,1
Arcellidae sp.7 P10K,P10K-MW-000617,GWHDQGT00000000,44.994541,58737,939,55.0,58559,60.3169453030277,Medium,1
Bresslaua sp.8 P10K,P10K-MW-000618,GWHDQGU00000000,58.257726,65051,1219,53.2,64650,59.6504253673627,Medium,1
Leptopharynx sp.4 P10K,P10K-MW-000619,GWHDQGV00000000,8.334308,15437,616,32.2,15363,57.9509210440669,Low,1
Paramoebidae sp.7 P10K,P10K-MW-000620,GWHDQGW00000000,9.228231,16661,622,28.1,16479,59.2572364827963,Low,1
Colpoda sp.15 P10K,P10K-MW-000621,GWHDQGX00000000,14.625825,24774,686,16.4,24585,50.2867602196461,Low,1
Spathidiidae sp.1 P10K,P10K-MW-000622,GWHDQGY00000000,30.556896,39509,946,76.6,39338,45.8920128120393,Medium,1
Nolandia sp.1 P10K,P10K-MW-000623,GWHDQGZ00000000,41.065066,46517,1091,62.6,46408,59.6599724185485,Medium,1
Colpoda sp.16 P10K,P10K-MW-000624,GWHDQHA00000000,46.509642,58054,980,72.0,57941,59.229215926546,Medium,1
Telotrochidium sp.16 P10K,P10K-MW-000625,GWHDQHB00000000,13.051284,28381,497,10.5,28334,37.2203006988071,Low,1
Ceratium furcoides strain P10K-1,P10K-MW-000626,GWHDQHC00000000,53.350413,76955,838,39.2,76339,53.762821100617,Low,1
Oligohymenophorea sp.10 P10K,P10K-MW-000627,GWHDQHD00000000,23.242939,33271,846,36.8,33241,45.3415962215336,Low,1
Thoracosphaeraceae sp.3 P10K,P10K-MW-000628,GWHDQHE00000000,61.16414,112813,624,26.9,108950,48.7067462138596,Low,1
Spathidium sp.11 P10K,P10K-MW-000629,GWHDQHF00000000,43.627981,47276,1158,76.6,47065,54.6690746839477,Medium,1
Spathidium stammeri strain P10K-1,P10K-MW-000630,GWHDQHG00000000,43.508724,53259,1060,77.8,53050,48.1526861451461,Medium,1
Colpoda sp.17 P10K,P10K-MW-000631,GWHDQHH00000000,53.89913,63818,1081,73.7,63213,60.9162672235142,Medium,1
Coleps sp.13 P10K,P10K-MW-000632,GWHDQHI00000000,48.702325,47770,1325,67.3,47637,65.5708797783236,Medium,1
Trithigmostoma sp.4 P10K,P10K-MW-000633,GWHDQHJ00000000,21.300018,33547,731,53.8,33374,45.5743992329358,Low,1
Colpoda magna strain P10K-4,P10K-MW-000634,GWHDQHK00000000,65.901185,77398,1099,79.0,77067,59.8751735502874,Medium,1
Litonotidae sp.6 P10K,P10K-MW-000635,GWHDQHL00000000,35.443969,43323,1030,52.6,42996,47.5625639594381,Medium,1
Vorticella sp.26 P10K,P10K-MW-000636,GWHDQHM00000000,1.819619,3896,501,2.9,3875,32.2064516129032,Low,1
Colepidae sp.6 P10K,P10K-MW-000637,GWHDQHN00000000,38.825675,36697,1392,65.5,36610,67.2357279431849,Medium,1
Longamoebia sp.13 P10K,P10K-MW-000638,GWHDQHO00000000,57.572213,74152,997,62.6,73232,57.8845313524142,Medium,1
Vorticella microstoma strain P10K-2,P10K-MW-000639,GWHDQHP00000000,10.223401,18793,607,15.8,18771,44.3290181663204,Low,1
Aspidiscidae sp.1 P10K,P10K-MW-000640,GWHDQHQ00000000,11.186278,17153,786,32.7,17059,80.3446860894542,Medium,1
Coleps sp.14 P10K,P10K-MW-000641,GWHDQHR00000000,99.297403,79689,1702,70.8,79451,69.6114586348819,Medium,1
Vorticellidae sp.1 P10K,P10K-MW-000642,GWHDQHS00000000,4.092056,6546,763,15.8,6540,43.9755351681957,Low,1
Trithigmostoma sp.1 P10K,P10K-MW-000643,GWHDQHT00000000,20.346469,30549,780,55.0,30394,48.6082779495953,Medium,1
Bresslauides sp.11 P10K,P10K-MW-000644,GWHDQHU00000000,32.634805,37362,1154,51.5,37051,62.3249035113762,Medium,1
Vorticella sp.55 P10K,P10K-MW-000645,GWHDQHV00000000,5.308706,11974,470,11.1,11949,37.1913967696042,Low,1
Vorticella sp.27 P10K,P10K-MW-000646,GWHDQHW00000000,13.489636,31423,458,9.4,31379,31.3139360718952,Low,1
Spathidium stammeri strain P10K-2,P10K-MW-000647,GWHDQHX00000000,33.826209,35388,1224,75.4,35262,55.5867506097215,Medium,1
Colpoda sp.18 P10K,P10K-MW-000648,GWHDQHY00000000,64.947468,73321,1116,76.6,72956,62.0223148198914,Medium,1
Colpoda sp.19 P10K,P10K-MW-000649,GWHDQHZ00000000,63.365801,78732,1011,74.9,78525,56.2839859917224,Medium,1
Spathidium sp.13 P10K,P10K-MW-000650,GWHDQIA00000000,9.975402,17017,660,23.9,16936,45.8904109589041,Low,1
Pseudovorticella sp.4 P10K,P10K-MW-000651,GWHDQIB00000000,6.611463,15586,445,12.9,15569,41.2486351082279,Low,1
Blepharisma sp.7 P10K,P10K-MW-000652,GWHDQIC00000000,49.693032,47126,1497,66.1,47130,8.21133036282623,Low,1
Stentor coeruleus strain P10K-4,P10K-MW-000653,GWHDQID00000000,65.077335,66520,1359,59.0,66306,57.6418423672066,Medium,1
Aspidisca sp.2 P10K,P10K-MW-000654,GWHDQIE00000000,7.569183,12748,685,21.1,12691,85.0996769364116,Medium,1
Paramoebidae sp.13 P10K,P10K-MW-000655,GWHDQIF00000000,3.356742,6284,596,20.4,6186,57.2583252505658,Low,1
Amphileptus sp.4 P10K,P10K-MW-000656,GWHDQIG00000000,11.163132,13463,1034,39.7,13403,47.735581586212,Low,1
Arcella sp.19 P10K,P10K-MW-000657,GWHDQIH00000000,30.953922,41006,898,61.5,40831,58.2841468492077,Medium,1
Peranema sp.2 P10K,P10K-MW-000658,GWHDQII00000000,43.277098,58500,882,59.7,58395,61.893997773782,Medium,1
Vorticella sp.28 P10K,P10K-MW-000659,GWHDQIJ00000000,1.844458,4720,405,9.4,4703,39.6980650648522,Low,1
Vaginicola sp.10 P10K,P10K-MW-000660,GWHDQIK00000000,2.322491,5524,441,0.4,5513,35.6611645202249,Low,1
Pseudovorticella sp.5 P10K,P10K-MW-000661,GWHDQIL00000000,1.47166,3291,468,4.1,3276,40.6898656898657,Low,1
Vorticella sp.29 P10K,P10K-MW-000662,GWHDQIM00000000,20.60612,42705,528,11.1,42646,32.4274257843643,Low,1
Longamoebia sp.14 P10K,P10K-MW-000663,GWHDQIN00000000,32.253218,41461,950,62.0,41160,51.3070942662779,Medium,1
Lembadion bullinum strain P10K-7,P10K-MW-000664,GWHDQIO00000000,51.240751,66766,937,40.9,66742,38.7477150819574,Low,1
Carchesium polypinum strain P10K-1,P10K-MW-000665,GWHDQIP00000000,0.125383,362,303,0.0,357,31.0924369747899,Low,1
Acanthocystidae sp.7 P10K,P10K-MW-000666,GWHDQIQ00000000,26.859608,39384,814,42.7,39207,61.0044124773637,Medium,1
Raphidiophryidae sp.1 P10K,P10K-MW-000667,GWHDQIR00000000,19.052233,27844,829,38.6,27738,50.4939072752181,Low,1
Arcella sp.20 P10K,P10K-MW-000668,GWHDQIS00000000,49.544422,65425,914,58.5,65181,56.740461177337,Medium,1
Litonotus sp.9 P10K,P10K-MW-000669,GWHDQIT00000000,14.417524,21013,830,40.3,20865,43.6712197459861,Low,1
Vorticella sp.56 P10K,P10K-MW-000670,GWHDQIU00000000,5.508812,13906,410,2.4,13882,30.2766172021323,Low,1
Diophrys sp.2 P10K,P10K-MW-000671,GWHDQIV00000000,27.124044,36001,943,46.2,35983,43.5539004529917,Low,1
Pseudovorticella sp.3 P10K,P10K-MW-000672,GWHDQIW00000000,3.85001,8056,513,17.0,8045,45.1584835301429,Low,1
Sessilida sp.19 P10K,P10K-MW-000673,GWHDQIX00000000,4.665759,9902,503,10.0,9849,35.485836125495,Low,1
Peranemataceae sp.2 P10K,P10K-MW-000674,GWHDQIY00000000,16.891521,25551,776,30.4,25293,50.8480607282647,Low,1
Blepharisma hyalinum strain P10K-2,P10K-MW-000675,GWHDQIZ00000000,15.697102,24133,741,49.7,24137,10.7386999212827,Low,1
Ophrydium versatile strain P10K-3,P10K-MW-000676,GWHDQJA00000000,15.042478,26475,635,17.5,26435,39.2699073198411,Low,1
Ophrydium versatile strain P10K-4,P10K-MW-000677,GWHDQJB00000000,12.448843,24282,566,13.5,24235,40.2599546110997,Low,1
Ophrydium sp.1 P10K,P10K-MW-000678,GWHDQJC00000000,1.80935,4525,413,2.3,4504,34.5914742451155,Low,1
Ophrydium versatile strain P10K-5,P10K-MW-000679,GWHDQJD00000000,1.834378,4841,380,0.6,4823,30.6033589052457,Low,1
Ophrydium versatile strain P10K-6,P10K-MW-000680,GWHDQJE00000000,1.262421,3873,310,0.6,3861,27.9202279202279,Low,1
Vorticella sp.14 P10K,P10K-MW-000681,GWHDQJF00000000,10.851896,20015,586,9.9,19997,39.0758613792069,Low,1
Carchesium sp.6 P10K,P10K-MW-000682,GWHDQJG00000000,2.82134,5334,613,11.1,5326,35.4111903867818,Low,1
Opisthonecta sp.5 P10K,P10K-MW-000683,GWHDQJH00000000,15.093991,26301,643,31.5,26289,48.8949750846362,Low,1
Epistylis sp.4 P10K,P10K-MW-000684,GWHDQJI00000000,10.919312,24217,491,13.4,24159,34.5088786787533,Low,1
Vorticella sp.57 P10K,P10K-MW-000685,GWHDQJJ00000000,5.393969,11928,482,4.1,11884,31.1511275664759,Low,1
Vorticella sp.30 P10K,P10K-MW-000686,GWHDQJK00000000,7.971605,17803,483,13.4,17757,36.4532297122262,Low,1
Vannella sp.5 P10K,P10K-MW-000687,GWHDQJL00000000,7.79011,15904,533,19.3,15702,53.0569354222392,Low,1
Vorticella sp.31 P10K,P10K-MW-000688,GWHDQJM00000000,2.365226,5871,420,7.0,5855,34.9274124679761,Low,1
Amphileptidae sp.2 P10K,P10K-MW-000689,GWHDQJN00000000,19.656513,28140,843,53.8,27822,45.3525986629286,Low,1
Colpodida sp.1 P10K,P10K-MW-000690,GWHDQJO00000000,14.667994,23365,728,36.2,23199,61.231087546877,Low,1
Bresslauides sp.12 P10K,P10K-MW-000691,GWHDQJP00000000,21.217768,28318,903,48.5,28258,62.1310779248354,Medium,1
Leptopharynx costatus strain P10K-1,P10K-MW-000692,GWHDQJQ00000000,4.382139,10308,450,13.4,10254,65.1355568558611,Low,1
Colpoda sp.1 P10K,P10K-MW-000693,GWHDQJR00000000,71.19603,85341,1023,61.4,85193,61.2597279119177,Medium,1
Oxytrichidae sp.1 P10K,P10K-MW-000694,GWHDQJS00000000,24.444226,24080,1418,53.8,24012,64.7717807762785,Medium,1
Sessilida sp.20 P10K,P10K-MW-000695,GWHDQJT00000000,2.062504,4971,440,5.8,4931,29.8113972824985,Low,1
Vorticella sp.58 P10K,P10K-MW-000696,GWHDQJU00000000,1.468828,3702,400,1.2,3692,29.4149512459372,Low,1
Epispathidium sp.1 P10K,P10K-MW-000697,GWHDQJV00000000,29.16027,31061,1198,64.3,31012,55.6881207274603,Medium,1
Vorticella sp.59 P10K,P10K-MW-000698,GWHDQJW00000000,7.737654,13855,624,22.2,13833,35.3791657630304,Low,1
Epispathidium terricola strain P10K-2,P10K-MW-000699,GWHDQJX00000000,35.696053,39552,1113,76.6,39442,45.8622787891081,Medium,1
Vorticella sp.93 P10K,P10K-MW-000700,GWHDQJY00000000,2.497169,5388,492,6.4,5359,35.323754431797,Low,1
Vaginicola sp.11 P10K,P10K-MW-000701,GWHDQJZ00000000,2.248228,5368,443,10.5,5345,34.9485500467727,Low,1
Colpoda sp.20 P10K,P10K-MW-000702,GWHDQKA00000000,61.138234,73713,983,59.7,73612,57.7786230505896,Medium,1
Colpoda maupasi strain P10K-6,P10K-MW-000703,GWHDQKB00000000,41.600285,51472,991,80.7,51268,53.3744245923383,Medium,1
Colpoda maupasi strain P10K-7,P10K-MW-000704,GWHDQKC00000000,63.409256,76419,1031,74.3,76191,60.8615190770564,Medium,1
Nassulidae sp.1 P10K,P10K-MW-000705,GWHDQKD00000000,27.295079,34166,972,57.3,34084,57.9802840042249,Medium,1
Phacodinium sp.4 P10K,P10K-MW-000706,GWHDQKE00000000,44.177532,46289,1226,67.3,46264,56.1430053605395,Medium,1
Colpoda inflata strain P10K-1,P10K-MW-000707,GWHDQKF00000000,22.40774,34550,744,21.1,34406,88.781026565134,Medium,1
Carchesium sp.7 P10K,P10K-MW-000708,GWHDQKG00000000,5.210523,12236,453,17.5,12194,28.7354436608168,Low,1
Sessilida sp.21 P10K,P10K-MW-000709,GWHDQKH00000000,9.109461,23045,412,19.9,22918,28.7546906361812,Low,1
Sessilida sp.22 P10K,P10K-MW-000710,GWHDQKI00000000,7.999294,15628,552,21.7,15610,50.2434336963485,Low,1
Colpoda sp.32 P10K,P10K-MW-000711,GWHDQKJ00000000,17.559642,24151,891,45.6,24081,62.447572775217,Medium,1
Vaginicola sp.12 P10K,P10K-MW-000712,GWHDQKK00000000,13.196653,25579,560,15.8,25548,41.9054329105997,Low,1
Vaginicolidae sp.3 P10K,P10K-MW-000713,GWHDQKL00000000,12.507865,27977,467,16.3,27915,29.6149023822318,Low,1
Zoothamnium sp.2 P10K,P10K-MW-000714,GWHDQKM00000000,2.827274,7400,388,6.4,7355,29.3541808293678,Low,1
Carchesium polypinum strain P10K-2,P10K-MW-000715,GWHDQKN00000000,5.297579,13273,418,14.6,13201,31.7097189606848,Low,1
Opisthonecta sp.2 P10K,P10K-MW-000716,GWHDQKO00000000,19.89642,28761,813,37.4,28741,47.3539542813402,Low,1
Carchesium sp.8 P10K,P10K-MW-000717,GWHDQKP00000000,1.66835,4071,421,1.2,4059,42.2764227642276,Low,1
Sessilida sp.23 P10K,P10K-MW-000718,GWHDQKQ00000000,6.207115,14235,469,13.4,14190,32.5510923185342,Low,1
Sessilida sp.24 P10K,P10K-MW-000719,GWHDQKR00000000,3.254855,10030,292,4.7,9980,29.4288577154309,Low,1
Sessilida sp.25 P10K,P10K-MW-000720,GWHDQKS00000000,5.624651,12120,488,9.3,12094,40.8053580287746,Low,1
Carchesium polypinum strain P10K-3,P10K-MW-000721,GWHDQKT00000000,5.805007,15768,383,3.5,15645,29.3128795142218,Low,1
Carchesium sp.9 P10K,P10K-MW-000722,GWHDQKU00000000,8.279996,12799,739,8.8,12773,45.2047287246536,Low,1
Carchesium sp.10 P10K,P10K-MW-000723,GWHDQKV00000000,14.901829,23552,726,11.1,23532,45.2617712051674,Low,1
Sessilida sp.26 P10K,P10K-MW-000724,GWHDQKW00000000,7.759837,18580,442,18.2,18531,33.6894932815283,Low,1
Sessilida sp.27 P10K,P10K-MW-000725,GWHDQKX00000000,5.209544,12587,441,14.7,12555,28.9207487056949,Low,1
Sessilida sp.28 P10K,P10K-MW-000726,GWHDQKY00000000,11.678662,24776,510,25.2,24729,38.0241821343362,Low,1
Vaginicola sp.17 P10K,P10K-MW-000727,GWHDQKZ00000000,1.627777,4313,388,1.8,4291,35.4928920997436,Low,1
Sessilida sp.29 P10K,P10K-MW-000728,GWHDQLA00000000,14.240392,30228,506,18.2,30146,38.2870032508459,Low,1
Sessilida sp.30 P10K,P10K-MW-000729,GWHDQLB00000000,7.295301,17796,435,15.8,17765,33.4928229665072,Low,1
Sessilida sp.31 P10K,P10K-MW-000730,GWHDQLC00000000,6.189123,16217,400,16.3,16155,32.9433611884865,Low,1
Pseudepistylis songi strain P10K-2,P10K-MW-000731,GWHDQLD00000000,15.229069,35917,450,6.4,35819,31.7568888020324,Low,1
Sessilida sp.32 P10K,P10K-MW-000732,GWHDQLE00000000,9.143162,12952,843,5.3,12938,46.4754985314577,Low,1
Sessilida sp.33 P10K,P10K-MW-000733,GWHDQLF00000000,12.460621,27243,488,15.8,27085,32.9075133837918,Low,1
Sessilida sp.34 P10K,P10K-MW-000734,GWHDQLG00000000,17.57683,24821,856,21.6,24778,50.7708451045282,Low,1
Rhabdostyla sp.1 P10K,P10K-MW-000735,GWHDQLH00000000,4.561586,10983,437,12.9,10952,29.6201607012418,Low,1
Carchesium polypinum strain P10K-4,P10K-MW-000736,GWHDQLI00000000,0.373664,875,455,5.9,874,30.6636155606407,Low,1
Vaginicolidae sp.1 P10K,P10K-MW-000737,GWHDQLJ00000000,26.141798,37238,833,36.8,37196,47.8089041832455,Low,1
Sessilida sp.35 P10K,P10K-MW-000738,GWHDQLK00000000,10.142675,14488,836,13.4,14477,45.6655384402846,Low,1
Sessilida sp.36 P10K,P10K-MW-000739,GWHDQLL00000000,2.488254,6621,385,2.3,6582,30.4314797933759,Low,1
Sessilida sp.37 P10K,P10K-MW-000740,GWHDQLM00000000,8.444718,18298,492,18.1,18270,39.9288451012589,Low,1
Pseudovorticella annulata strain P10K-3,P10K-MW-000741,GWHDQLN00000000,15.87957,30120,579,38.0,30066,38.2857713031331,Low,1
Pseudomicrothorax sp.3 P10K,P10K-MW-000742,GWHDQLO00000000,39.844296,52371,916,50.3,52245,47.7098286917408,Low,1
Vorticella sp.60 P10K,P10K-MW-000743,GWHDQLP00000000,2.517059,7884,293,0.0,7846,28.4603619678817,Low,1
Sessilida sp.38 P10K,P10K-MW-000744,GWHDQLQ00000000,17.680226,25761,794,32.2,25734,40.5844408175954,Low,1
Cothurnia sp.1 P10K,P10K-MW-000745,GWHDQLR00000000,3.129836,8096,380,4.7,8064,30.9275793650794,Low,1
Vorticellides sp.10 P10K,P10K-MW-000746,GWHDQLS00000000,11.720175,17020,817,22.3,17002,42.195035878132,Low,1
Vorticellides sp.11 P10K,P10K-MW-000747,GWHDQLT00000000,12.250455,23220,581,37.5,23186,37.6606572931942,Low,1
Carchesium polypinum strain P10K-5,P10K-MW-000748,GWHDQLU00000000,1.514624,4548,333,6.4,4510,27.8713968957871,Low,1
Telotrochidium sp.17 P10K,P10K-MW-000749,GWHDQLV00000000,5.452951,10351,585,10.6,10333,41.3626246007936,Low,1
Sessilida sp.39 P10K,P10K-MW-000750,GWHDQLW00000000,7.157452,13138,605,11.7,13133,42.8919515723749,Low,1
Pseudovorticella sp.8 P10K,P10K-MW-000751,GWHDQLX00000000,14.425127,25717,627,41.5,25693,40.7776437161873,Low,1
Leptopharynx sp.5 P10K,P10K-MW-000752,GWHDQLY00000000,8.124083,15736,564,18.7,15691,64.1386782231853,Low,1
Vorticella convallaria strain P10K-16,P10K-MW-000753,GWHDQLZ00000000,1.716281,5027,338,5.9,4988,32.2975140336808,Low,1
Sessilida sp.40 P10K,P10K-MW-000754,GWHDQMA00000000,18.507952,28672,739,33.9,28642,38.928845750995,Low,1
Vorticella convallaria strain P10K-17,P10K-MW-000755,GWHDQMB00000000,9.899505,23321,448,20.5,23238,31.3968499870901,Low,1
Sessilida sp.41 P10K,P10K-MW-000756,GWHDQMC00000000,9.536057,18802,555,22.8,18775,46.5406125166445,Low,1
Vaginicola sp.13 P10K,P10K-MW-000757,GWHDQMD00000000,26.21202,37771,814,26.3,37733,48.832586860308,Low,1
Zoothamnium sp.3 P10K,P10K-MW-000758,GWHDQME00000000,35.795482,46525,997,29.9,46479,40.4914047204114,Low,1
Bresslauides sp.13 P10K,P10K-MW-000759,GWHDQMF00000000,21.930948,32412,760,33.9,32224,55.5672790466733,Low,1
Fuscheria sp.1 P10K,P10K-MW-000760,GWHDQMG00000000,26.9081,26424,1314,63.2,26371,64.1841416707747,Medium,1
Vorticella sp.32 P10K,P10K-MW-000761,GWHDQMH00000000,8.817113,20694,448,7.0,20642,34.8658075767852,Low,1
Spathidiidae sp.8 P10K,P10K-MW-000762,GWHDQMI00000000,60.664714,77717,937,58.4,77500,41.4141935483871,Low,1
Vorticella sp.33 P10K,P10K-MW-000763,GWHDQMJ00000000,5.724718,13513,455,1.2,13410,31.2304250559284,Low,1
Colepidae sp.8 P10K,P10K-MW-000764,GWHDQMK00000000,30.871816,36329,1065,55.5,36273,45.2898850384584,Medium,1
Litonotidae sp.4 P10K,P10K-MW-000765,GWHDQML00000000,7.571725,14606,580,19.8,14493,49.982750293245,Low,1
Tetrahymenidae sp.1 P10K,P10K-MW-000766,GWHDQMM00000000,8.848206,16647,572,18.1,16611,42.3634940701944,Low,1
Trachelophyllidae sp.1 P10K,P10K-MW-000767,GWHDQMN00000000,18.580537,28711,735,49.1,28594,41.0505700496608,Low,1
Pleuronema sp.2 P10K,P10K-MW-000768,GWHDQMO00000000,80.00808,90962,1171,49.1,90676,50.0562442101548,Low,1
Raphidiophrys sp.4 P10K,P10K-MW-000769,GWHDQMP00000000,14.059041,20724,797,39.2,20680,39.1779497098646,Low,1
Levicoleps sp.4 P10K,P10K-MW-000770,GWHDQMQ00000000,50.280023,46364,1472,73.7,46135,66.1211661428417,Medium,1
Sessilida sp.42 P10K,P10K-MW-000771,GWHDQMR00000000,1.407873,3625,395,1.2,3594,40.4563160823595,Low,1
Raphidiophrys sp.5 P10K,P10K-MW-000772,GWHDQMS00000000,9.234357,17209,599,25.7,17090,55.6056173200702,Low,1
Bresslauides sp.14 P10K,P10K-MW-000773,GWHDQMT00000000,39.307318,57841,805,49.1,57669,56.2815377412475,Medium,1
Furgasonia blochmanni strain P10K-3,P10K-MW-000774,GWHDQMU00000000,14.27087,23320,722,31.0,23293,44.8417979650539,Low,1
Bryometopus sp.1 P10K,P10K-MW-000775,GWHDQMV00000000,50.164053,64152,978,65.5,64026,54.9386186861587,Medium,1
Bresslauides sp.15 P10K,P10K-MW-000776,GWHDQMW00000000,45.128913,58266,947,48.0,58109,58.3128258961607,Medium,1
Colpoda sp.6 P10K,P10K-MW-000777,GWHDQMX00000000,19.185732,31848,688,45.0,31693,62.0515571261793,Medium,1
Colpoda sp.21 P10K,P10K-MW-000778,GWHDQMY00000000,76.956244,103468,935,64.4,103169,58.2316393490293,Medium,1
